,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
75,TC213608,Ian,B,1,2136-10-30 06:00:00,2136-10-30 18:00:00,2136-10-28 12:00:00,2136-10-28 12:00:00,2136-10-12 06:00:00,964.41,-18.26,44.37,964.41,-18.26,44.37,1000.27,-11.96,42.88,1008.54,-10.75,41.75,1001.96,-69.37,24.61
76,TC213609,Jessica,B,2,2136-11-28 06:00:00,2136-11-28 12:00:00,2136-11-26 06:00:00,2136-11-26 06:00:00,2136-11-24 00:00:00,982.59,-32.26,39.97,982.59,-32.26,39.97,996.28,-25.98,45.13,998.54,-26.39,47.73,998.6,-34.87,31.17
77,TC213702,Manfred,B,1,2137-08-03 18:00:00,2137-08-05 00:00:00,2137-08-04 06:00:00,2137-08-03 06:00:00,2137-08-01 00:00:00,986.3,-60.92,42.27,995.27,-71.94,37.21,994.57,-67.74,39.87,999.18,-52.48,43.51,1011.11,-80.68,30.44
78,TC213703,Oxlip,B,3,2137-08-19 00:00:00,2137-08-19 00:00:00,2137-08-15 18:00:00,2137-08-15 18:00:00,2137-08-06 18:00:00,976.65,-88.19,25.98,976.65,-88.19,25.98,1006.66,-96.11,30.57,1006.66,-96.11,30.57,1004.77,-32.62,13.0
79,TC213705,Sofiee,B,1,2137-12-12 00:00:00,2137-12-13 06:00:00,2137-12-12 12:00:00,2137-12-08 12:00:00,2137-12-07 18:00:00,990.57,-39.97,36.14,994.2,-63.75,35.66,997.31,-45.67,31.5,992.41,-35.06,35.55,1011.41,-67.2,33.15
80,TC213801,Travis,B,2,2138-01-30 18:00:00,2138-01-31 12:00:00,2138-01-27 12:00:00,2138-01-27 12:00:00,2138-01-25 00:00:00,984.44,-31.32,35.2,984.44,-31.32,35.2,1013.25,-19.0,35.5,1017.24,-14.75,37.5,1008.83,-48.81,31.92
81,TC213802,Yan,B,2,2138-03-29 00:00:00,2138-03-29 06:00:00,2138-03-24 18:00:00,2138-03-24 18:00:00,2138-03-25 00:00:00,995.98,-39.97,32.1,995.98,-39.97,32.1,1011.52,-29.13,35.17,1011.64,-27.26,36.05,997.37,-39.74,31.61
82,TC213803,Angela,B,1,2138-04-24 00:00:00,2138-04-24 12:00:00,2138-04-24 12:00:00,2138-04-23 18:00:00,2138-04-20 06:00:00,988.42,-65.02,43.05,1000.83,-70.11,36.03,996.0,-68.88,38.33,988.42,-65.02,43.05,1014.41,-72.89,30.76
83,TC213902,Justin,B,1,2139-06-09 12:00:00,2139-06-10 12:00:00,2139-06-09 00:00:00,2139-06-09 00:00:00,2139-06-02 12:00:00,968.31,-89.82,29.26,968.31,-89.82,29.26,991.62,-89.02,32.75,999.78,-84.71,37.66,1009.13,-86.59,15.59
84,TC213903,Kyan,B,1,2139-10-26 06:00:00,2139-10-27 18:00:00,2139-10-26 00:00:00,2139-10-26 00:00:00,2139-10-18 12:00:00,934.51,-47.24,34.36,934.51,-47.24,34.36,944.41,-46.44,36.45,992.04,-31.05,45.72,1009.28,-39.47,35.1
